month,provider,resource_id,service,environment,owner_team,region,monthly_cost_gbp,cpu_avg_pct,memory_avg_pct,uptime_pct,storage_util_pct,monthly_requests,tag_compliant,reserved_coverage_pct,cost_anomaly
2026-01,AWS,RES-00001,EC2,UAT,Security,eu-west-1,246.25,8.3,54.3,55.9,,,1,70.5,0
2026-01,Azure,RES-00002,SQL Database,UAT,Data,East US,245.18,,,69.8,,,1,24.6,0
2026-01,AWS,RES-00003,S3,Dev,Data,us-east-1,38.05,,,75.0,79.0,618.0,1,,0
2026-01,AWS,RES-00004,EC2,Prod,Platform,eu-west-1,129.96,71.0,18.8,29.4,,,1,78.5,0
2026-01,Azure,RES-00005,Virtual Machines,Prod,Applications,West Europe,90.18,15.5,26.7,72.7,,,1,74.3,0
2026-01,AWS,RES-00006,RDS,Dev,Applications,eu-west-2,317.72,,,32.3,,,1,83.0,0
2026-01,AWS,RES-00007,Load Balancer,Prod,Platform,us-east-1,79.51,,,57.0,,887.0,1,,0
2026-01,AWS,RES-00008,RDS,UAT,Data,eu-west-2,288.96,,,38.4,,,1,39.9,0
2026-01,AWS,RES-00009,EC2,Dev,Platform,us-east-1,181.86,1.2,64.9,95.4,,,1,19.6,0
2026-01,AWS,RES-00010,Load Balancer,Prod,Security,eu-west-2,125.8,,,89.4,,1278.0,0,,0
2026-01,AWS,RES-00011,NAT Gateway,UAT,Applications,eu-west-1,219.64,,,69.6,,,0,,0
2026-01,AWS,RES-00012,S3,Dev,Platform,us-east-1,79.69,,,57.8,47.4,928.0,1,,1
2026-01,AWS,RES-00013,EC2,Prod,Cloud Ops,eu-west-2,301.46,21.6,22.1,83.5,,,1,3.1,0
2026-01,Azure,RES-00014,Virtual Machines,UAT,Security,UK South,293.71,3.0,53.7,82.7,,,1,83.0,0
2026-01,Azure,RES-00015,Blob Storage,UAT,Security,East US,64.71,,,72.2,24.1,4162.0,1,,0
2026-01,Azure,RES-00016,SQL Database,Prod,Platform,East US,338.79,,,91.0,,,1,2.5,0
2026-01,AWS,RES-00017,S3,Prod,Platform,us-east-1,60.05,,,32.2,54.4,1503.0,1,,0
2026-01,AWS,RES-00018,EBS,Prod,Applications,us-east-1,118.96,,,50.7,75.6,,1,,0
2026-01,AWS,RES-00019,S3,Dev,Data,eu-west-2,82.73,,,75.4,6.7,1004.0,1,,0
2026-01,Azure,RES-00020,SQL Database,Dev,Security,East US,333.18,,,99.6,,,0,93.6,0
2026-01,AWS,RES-00021,EBS,UAT,Security,us-east-1,42.45,,,71.8,46.8,,1,,0
2026-01,Azure,RES-00022,NAT Gateway,Prod,Applications,West Europe,113.59,,,80.5,,,1,,0
2026-01,Azure,RES-00023,Managed Disks,Prod,Cloud Ops,West Europe,54.51,,,31.3,33.8,,0,,0
2026-01,Azure,RES-00024,Virtual Machines,UAT,Platform,East US,178.08,20.1,46.9,97.9,,,1,43.3,0
2026-01,Azure,RES-00025,SQL Database,Prod,Security,East US,367.17,,,47.5,,,1,59.6,0
2026-01,Azure,RES-00026,SQL Database,UAT,Data,West Europe,280.8,,,66.3,,,1,90.3,1
2026-01,Azure,RES-00027,NAT Gateway,Prod,Data,West Europe,129.07,,,96.5,,,1,,0
2026-01,AWS,RES-00028,Load Balancer,Dev,Platform,eu-west-1,77.22,,,74.8,,1786.0,1,,0
2026-01,AWS,RES-00029,RDS,Dev,Security,eu-west-2,290.87,,,31.9,,,1,35.7,0
